ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Robotics,204,FOUND
2,Automation,,FOUND
3,Control System,,FOUND
4,Robotics History,1,FOUND
5,Robotics Careers,1,FOUND
6,Universal Systems Model,3,FOUND
7,System Input,6,FOUND
8,System Process,6,FOUND
9,System Output,6,FOUND
10,System Feedback,7|9,FOUND
11,Robot Definition,1,FOUND
12,Types Of Robots,11,FOUND
13,Industrial Robots,12,FOUND
14,Mobile Robots,12,FOUND
15,Humanoid Robots,12,FOUND
16,Robotics Applications,11|5,FOUND
17,Robotics Ethics,16,FOUND
18,Engineering Design Process,,EDP
19,Problem Definition,18,EDP
20,Design Constraints,19,EDP
21,Design Criteria,19,EDP
22,Brainstorming,19,EDP
23,Concept Sketching,22,EDP
24,Prototyping,23,EDP
25,Design Iteration,24,EDP
26,Design Testing,24,EDP
27,Design Documentation,18,EDP
28,Trade-Off Analysis,20|21,EDP
29,Reverse Engineering,18,EDP
30,Design Specifications,21,EDP
31,Bill Of Materials,30,EDP
32,Engineering Notebook,18,EDP
33,Team-Based Design,18,EDP
34,Electricity,,ELEC
35,Voltage,34,ELEC
36,Current,34,ELEC
37,Resistance,34,ELEC
38,Ohms Law,35|36|37,ELEC
39,Direct Current,36,ELEC
40,Alternating Current,36,ELEC
41,Electrical Circuit,38,ELEC
42,Series Circuit,41,ELEC
43,Parallel Circuit,41,ELEC
44,Electrical Power,35|36,ELEC
45,Electrical Safety,34,ELEC
46,Conductors,34,ELEC
47,Insulators,34,ELEC
48,Electrical Ground,41,ELEC
49,Short Circuit,41|45,ELEC
50,Circuit Protection,49,ELEC
51,Resistor,37,CIRC
52,Capacitor,41,CIRC
53,Diode,39,CIRC
54,Transistor,53,CIRC
55,LED,53,CIRC
56,Breadboard,41,CIRC
57,Soldering,45,CIRC
58,Multimeter,35|36|37,CIRC
59,Circuit Diagram,41,CIRC
60,Printed Circuit Board,59,CIRC
61,Battery,39,CIRC
62,Power Supply,35,CIRC
63,Switch,41,CIRC
64,Relay,63,CIRC
65,Motor Driver,54,CIRC
66,Circuit Simulation,59,CIRC
67,Circuit Design,59|51|52,CIRC
68,Sensor,7,RBOT
69,Actuator,9,RBOT
70,Precision Measurement,68,SENS
